City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Mindelo,16.89,-24.98,25.0,69,20,3.6,CV,1595029101
Torbay,47.67,-52.73,10.0,100,90,6.7,CA,1595028915
Hasaki,35.73,140.83,19.0,100,75,2.6,JP,1595028905
Calvinia,-31.47,19.78,9.13,43,0,3.3,ZA,1595028848
Sayyan,15.17,44.32,17.33,58,93,1.21,YE,1595028918
Qaanaaq,77.48,-69.36,7.65,71,100,4.28,GL,1595028926
Port Elizabeth,-33.92,25.57,7.0,56,0,3.1,ZA,1595028929
Saint Anthony,45.02,-93.22,32.0,52,40,5.7,US,1595029104
Arlit,18.74,7.39,29.21,53,43,6.7,NE,1595028946
Jamestown,42.1,-79.24,25.0,60,1,4.1,US,1595028737
Dikson,73.51,80.55,4.74,95,88,4.68,RU,1595028909
Khovd,48.01,91.64,19.5,42,0,0.46,MN,1595029104
Ilulissat,69.22,-51.1,11.0,50,6,2.1,GL,1595028732
Chapadinha,-3.74,-43.36,24.12,69,5,0.55,BR,1595029105
Vestmanna,62.16,-7.17,10.0,87,72,9.3,FO,1595028839
Ribeira Grande,38.52,-28.7,21.22,78,16,6.45,PT,1595028926
Arraial do Cabo,-22.97,-42.03,21.24,78,6,7.4,BR,1595028927
Grand Baie,-20.02,57.58,19.44,77,3,1.79,MU,1595029106
Tooele,40.53,-112.3,36.0,18,1,3.1,US,1595029106
Esim,4.87,-2.24,23.75,90,41,3.7,GH,1595028964
Fairbanks,64.84,-147.72,21.11,56,75,5.1,US,1595028843
Bucerías,20.75,-105.33,30.56,70,20,4.6,MX,1595028894
Dunmore East,52.15,-6.99,15.56,90,95,1.79,IE,1595029107
Vila Velha,-20.33,-40.29,21.67,77,75,1.0,BR,1595028785
Berlevåg,70.86,29.09,14.8,72,100,5.61,NO,1595028758
Iqaluit,63.75,-68.51,8.0,87,20,5.1,CA,1595028916
Okhotsk,59.38,143.3,14.26,88,99,2.71,RU,1595028950
Edd,13.93,41.69,31.84,60,93,0.54,ER,1595029109
Sobolevo,54.43,31.9,11.73,91,70,1.87,RU,1595029109
Tazovsky,67.47,78.7,8.63,77,31,1.46,RU,1595029109
Alice Springs,-23.7,133.88,8.0,36,0,1.0,AU,1595028906
Husavik,66.04,-17.34,6.0,87,90,9.3,IS,1595029109
Vanavara,60.34,102.28,10.09,89,99,4.86,RU,1595029110
Kaniama,-7.57,24.18,16.29,43,52,3.86,CD,1595029110
Salalah,17.02,54.09,28.0,88,40,3.1,OM,1595028911
Thinadhoo,0.53,72.93,28.75,73,93,3.59,MV,1595029110
Pevek,69.7,170.31,7.88,77,47,2.03,RU,1595028736
Bengkulu,-3.8,102.27,24.33,84,77,1.69,ID,1595028725
Severo-Kuril'sk,50.68,156.12,11.28,85,100,4.74,RU,1595028908
Provost,52.35,-110.27,20.58,62,93,5.94,CA,1595029112
Mpika,-11.83,31.45,8.62,91,44,6.08,ZM,1595029112
Novy Urengoy,66.08,76.63,12.65,71,90,2.93,RU,1595028846
Kuril'sk,45.23,147.88,16.63,78,40,2.41,RU,1595029112
Bambous Virieux,-20.34,57.76,21.0,73,75,6.2,MU,1595028922
Bubaque,11.28,-15.83,25.93,84,100,10.18,GW,1595029113
Lata,40.16,-8.33,24.44,82,0,0.5,PT,1595028953
Codrington,-38.27,141.97,10.26,67,100,8.2,AU,1595028778
Saint-Pierre,-21.34,55.48,19.0,72,90,3.6,RE,1595029113
Hithadhoo,-0.6,73.08,28.88,75,98,4.7,MV,1595028650
Cape Town,-33.93,18.42,16.11,44,0,6.7,ZA,1595028902
Mwene-Ditu,-7.0,23.45,17.31,41,12,3.81,CD,1595029114
Werder,52.38,12.93,16.11,76,33,2.0,DE,1595029114
Senanga,-16.12,23.27,8.06,56,0,2.93,ZM,1595029115
Avarua,-21.21,-159.78,23.0,60,10,4.1,CK,1595028913
Hong Kong,22.29,114.16,30.0,79,100,4.47,HK,1595028756
Esperance,-33.87,121.9,6.0,93,82,6.2,AU,1595028736
Ballangen,68.34,16.83,13.33,87,98,8.7,NO,1595029116
Lavrentiya,65.58,-171.0,9.55,71,0,2.15,RU,1595028933
Price,39.6,-110.81,29.0,20,20,7.2,US,1595028952
São Filipe,14.9,-24.5,24.16,79,38,2.26,CV,1595028727
Stornoway,58.21,-6.39,12.22,87,78,6.7,GB,1595028825
Kargasok,59.06,80.86,13.8,78,3,1.95,RU,1595029117
Noumea,-22.28,166.46,23.0,53,0,1.5,NC,1595028663
Dinguiraye,11.3,-10.72,21.9,92,98,2.04,GN,1595029118
La Serena,-29.91,-71.25,11.0,87,40,4.1,CL,1595028931
Tuktoyaktuk,69.45,-133.04,10.0,76,75,5.7,CA,1595028915
Coquimbo,-29.95,-71.34,11.0,87,40,4.1,CL,1595028814
Ixtapa,20.7,-105.2,30.56,70,20,4.6,MX,1595028943
Carnarvon,-24.87,113.63,10.0,93,0,4.1,AU,1595028929
Norman Wells,65.28,-126.83,24.0,38,75,2.1,CA,1595028716
Katsuura,35.13,140.3,22.0,100,75,3.1,JP,1595028934
Guarujá,-23.99,-46.26,22.22,94,25,0.73,BR,1595029120
Cayenne,4.93,-52.33,25.0,94,99,4.62,GF,1595028733
Hervey Bay,-25.3,152.85,20.0,59,0,5.7,AU,1595029120
Butaritari,3.07,172.79,28.62,75,18,6.99,KI,1595028906
Opuwo,-18.06,13.84,12.61,39,0,7.42,NA,1595029121
Batagay-Alyta,67.8,130.41,10.04,93,100,1.24,RU,1595029121
Tura,25.52,90.22,23.77,97,100,2.08,IN,1595028914
Zaraza,9.35,-65.32,23.98,94,70,2.29,VE,1595029122
Port Keats,-14.25,129.55,23.59,25,0,3.88,AU,1595029123
Mount Isa,-20.73,139.5,15.0,26,38,4.45,AU,1595029123
Kaeo,-35.1,173.78,16.67,3,98,4.02,NZ,1595029123
Bilibino,68.05,166.44,15.3,66,93,4.16,RU,1595029123
Boa Vista,2.82,-60.67,24.0,88,75,3.6,BR,1595029124
Quatre Cocos,-20.21,57.76,21.0,73,75,6.2,MU,1595028920
Coahuayana Viejo,18.73,-103.68,29.0,66,40,5.1,MX,1595029124
Lebu,-37.62,-73.65,11.42,85,1,8.21,CL,1595028929
Dingle,11.0,122.67,27.73,79,99,2.79,PH,1595028946
Grand Gaube,-20.01,57.66,19.44,77,1,1.79,MU,1595028918
Kez,57.9,53.72,13.23,97,17,1.97,RU,1595029125
Bafatá,12.17,-14.75,22.87,94,100,2.64,GW,1595029125
Rabo de Peixe,37.8,-25.58,20.0,82,75,2.6,PT,1595029126
College,64.86,-147.8,20.56,52,75,3.6,US,1595028960
Pisco,-13.7,-76.22,16.11,82,5,7.2,PE,1595029126
Bonthe,7.53,-12.51,24.91,79,69,3.32,SL,1595029126
Guia Lopes da Laguna,-21.46,-56.11,22.88,43,0,1.94,BR,1595029127
New Norfolk,-42.78,147.06,4.44,84,100,1.59,AU,1595028726
Kruisfontein,-34.0,24.73,13.86,32,0,5.13,ZA,1595028935
Morón,-34.65,-58.62,13.33,91,93,2.68,AR,1595028840
Buin,-33.73,-70.75,13.0,81,90,3.1,CL,1595029128
Raja,8.46,25.68,20.86,87,100,2.09,SS,1595029128
Alofi,-19.06,-169.92,27.0,69,35,4.6,NU,1595028927
Kavieng,-2.57,150.8,28.3,77,93,4.79,PG,1595028907
Kununurra,-15.77,128.73,17.0,20,0,0.5,AU,1595028909
Leningradskiy,69.38,178.42,3.68,81,97,7.21,RU,1595028934
Touros,-5.2,-35.46,24.0,88,40,3.1,BR,1595028808
Mikhaylov,54.23,39.02,12.04,94,11,2.44,RU,1595029130
Kletnya,53.39,33.22,12.89,94,67,1.68,RU,1595029130
Athens,37.98,23.72,25.56,57,20,1.38,GR,1595029002
Kaitangata,-46.28,169.85,1.67,72,0,4.02,NZ,1595028909
Polunochnoye,60.87,60.42,16.6,98,100,1.41,RU,1595029131
Soure,-0.72,-48.52,26.68,81,34,4.54,BR,1595029132
Flinders,-34.58,150.86,13.33,80,30,3.13,AU,1595028920
Kavaratti,10.57,72.64,28.38,79,99,7.88,IN,1595028939
Tiksi,71.69,128.87,7.28,69,94,4.91,RU,1595028943
East London,-33.02,27.91,17.28,26,0,2.41,ZA,1595028918
Whitehorse,60.72,-135.05,19.0,37,75,1.0,CA,1595028913
Cockburn Town,21.46,-71.14,30.0,66,40,5.1,TC,1595028745
Bulgan,48.81,103.53,13.6,75,82,1.13,MN,1595029133
Oistins,13.07,-59.53,28.0,74,40,5.1,BB,1595029133
De-Kastri,51.47,140.78,17.91,90,98,1.68,RU,1595029134
Grindavik,63.84,-22.43,7.0,75,75,13.9,IS,1595028950
Udachny,66.42,112.4,14.0,71,75,2.0,RU,1595029040
Gijang,35.24,129.21,22.0,73,75,0.5,KR,1595029135
Puerto Escondido,15.85,-97.07,30.0,66,75,4.6,MX,1595029135
Provideniya,64.38,-173.3,10.48,89,97,1.89,RU,1595028924
Ossora,59.24,163.07,14.2,93,100,2.9,RU,1595029135
Enshi,30.3,109.48,24.28,87,99,0.3,CN,1595029136
Moree,-29.47,149.85,12.0,71,0,3.6,AU,1595029136
Saint-Augustin,51.23,-58.65,17.57,46,43,5.39,CA,1595028839
Jalu,29.03,21.55,26.7,50,0,4.88,LY,1595028955
Port Shepstone,-30.74,30.45,14.94,35,0,3.43,ZA,1595029137
Macas,-2.32,-78.12,23.0,64,20,2.6,EC,1595029125
Bela,25.93,81.98,30.63,69,63,1.62,IN,1595029137
Broken Hill,-31.95,141.43,9.0,57,64,4.1,AU,1595029103
Zapolyarnyy,69.42,30.81,17.0,67,100,7.7,RU,1595029137
Luba,3.46,8.55,24.0,100,40,1.5,GQ,1595028915
Biak,-0.91,122.88,26.3,77,12,2.61,ID,1595028807
Adrar,20.5,-10.07,35.07,23,0,2.04,MR,1595028742
Yulara,-25.24,130.99,7.0,36,0,2.1,AU,1595028936
Moreira Sales,-24.06,-53.01,18.67,82,0,3.87,BR,1595029139
Azle,32.9,-97.55,36.0,37,20,6.2,US,1595029139
George Town,5.41,100.34,26.0,100,20,2.1,MY,1595028741
Faanui,-16.48,-151.75,24.97,82,2,7.24,PF,1595028919
Nome,64.5,-165.41,19.44,77,20,4.6,US,1595028911
Sittwe,20.15,92.9,27.57,82,100,1.01,MM,1595028858
Rio Grande,-32.03,-52.1,13.89,97,77,0.45,BR,1595028910
Kangaatsiaq,68.31,-53.46,10.29,58,0,6.13,GL,1595029141
Bilma,18.69,12.92,30.22,31,4,5.52,NE,1595028905
Palmer,42.16,-72.33,25.0,73,40,1.5,US,1595028999
Niquero,20.04,-77.58,27.81,75,50,2.33,CU,1595029141
Tautira,-17.73,-149.15,24.0,94,75,4.6,PF,1595029141
Oussouye,12.48,-16.55,26.0,100,75,5.1,SN,1595028963
Acaraú,-2.89,-40.12,25.33,79,7,5.48,BR,1595029142
Waddān,29.16,16.14,26.0,46,0,4.12,LY,1595029142
Florianópolis,-27.61,-48.5,17.0,100,75,1.0,BR,1595029142
Ust-Kuyga,70.02,135.6,17.42,39,100,5.56,RU,1595028913
Ketchikan,55.34,-131.65,15.0,77,90,6.2,US,1595028783
Laguna,38.42,-121.42,33.33,24,1,5.7,US,1595029144
Casas Grandes,30.37,-107.95,32.22,29,37,2.24,MX,1595029144
Praia da Vitória,38.73,-27.07,20.0,88,75,4.8,PT,1595029144
North Vanlaiphai,23.13,93.07,18.28,100,100,0.48,IN,1595029145
Tuy Hoa,13.08,109.3,27.33,78,20,1.73,VN,1595028847
Aloleng,16.13,119.78,28.99,77,100,3.32,PH,1595029145
Terrace Bay,48.78,-87.1,15.57,75,3,1.6,CA,1595029146
Phibun Mangsahan,15.24,105.23,26.0,100,40,2.55,TH,1595029146
Ürümqi,43.8,87.6,26.0,31,0,5.0,CN,1595028931
Lichuan,30.3,108.85,21.45,95,83,0.85,CN,1595029146
Leh,34.17,77.58,15.59,39,7,2.17,IN,1595029147
Korla,41.76,86.15,28.89,60,31,0.45,CN,1595028960
Tasiilaq,65.61,-37.64,9.0,61,0,1.5,GL,1595028918
Pangai,-19.8,-174.35,27.0,78,75,6.2,TO,1595029147
Wanning,18.8,110.4,29.08,78,80,4.72,CN,1595029148
Fujin,47.26,132.03,26.41,74,0,3.32,CN,1595029148
Suntar,62.14,117.63,16.78,74,93,2.56,RU,1595029148
North Bend,43.41,-124.22,18.33,63,1,10.3,US,1595029149
Wajir,1.75,40.06,21.76,57,100,6.53,KE,1595029149
Villa Carlos Paz,-31.42,-64.5,13.89,81,3,5.1,AR,1595029149
Olafsvik,64.89,-23.71,7.95,79,74,12.66,IS,1595028953
Kumul,42.8,93.45,26.53,17,0,4.39,CN,1595028783
Faya,18.39,42.45,21.0,52,88,3.16,SA,1595028805
Padang,-0.95,100.35,25.15,77,63,1.81,ID,1595028830
Garoowe,8.41,48.48,25.36,48,100,14.22,SO,1595029150
Pangnirtung,66.15,-65.71,10.0,81,90,4.1,CA,1595028775
Port Angeles,48.12,-123.43,18.0,67,1,5.1,US,1595029151
Magole,-6.37,37.37,16.0,82,5,1.38,TZ,1595029151
Marfino,55.7,37.38,16.67,87,40,3.0,RU,1595029152
Sujiatun,41.66,123.34,24.0,73,84,2.0,CN,1595029152
Oban,56.41,-5.47,13.33,74,94,0.89,GB,1595029152
Clyde River,70.47,-68.59,6.0,87,40,5.7,CA,1595028930
Bazarnye Mataki,54.88,49.93,14.05,89,38,1.09,RU,1595029153
Council Bluffs,41.26,-95.86,33.0,63,75,9.3,US,1595029119
Frontera,26.93,-101.45,34.98,29,61,8.61,MX,1595029153
Yaan,7.38,8.57,21.41,94,100,2.05,NG,1595029153
Rawson,-43.3,-65.1,11.76,63,100,9.47,AR,1595028645
Riyadh,24.69,46.72,32.0,13,0,4.1,SA,1595028937
Harper,4.38,-7.72,23.71,81,3,2.6,LR,1595029154
Srednekolymsk,67.45,153.68,15.28,48,43,5.04,RU,1595028728
Kinel’-Cherkassy,53.47,51.47,17.26,81,46,3.39,RU,1595029155
Morondava,-20.28,44.28,19.77,55,0,6.62,MG,1595029155
Road Town,18.42,-64.62,29.0,70,40,3.1,VG,1595029031
Yangi Marg`ilon,40.43,71.72,25.0,38,99,4.1,UZ,1595028941
Panjāb,34.39,67.02,12.05,67,4,1.31,AF,1595029156
Al Bardīyah,31.76,25.09,22.77,86,0,4.71,LY,1595029156
Ambovombe,-25.17,46.08,18.23,71,39,4.39,MG,1595029157
Pringsewu,-5.36,104.97,23.48,93,40,1.16,ID,1595029157
Neiafu,-18.65,-173.98,27.0,78,40,5.1,TO,1595029157
Mandya,12.52,76.9,21.13,89,100,3.53,IN,1595029158
Namatanai,-3.67,152.43,29.08,70,89,3.95,PG,1595029158
Bariloche,-41.15,-71.31,3.0,93,75,4.1,AR,1595029158
Bālāghāt,21.8,80.18,25.3,84,22,1.03,IN,1595029159
Juàzeirinho,-6.82,-38.05,24.87,64,53,5.43,BR,1595029159
Katherine,-14.47,132.27,18.0,31,17,3.6,AU,1595029159
Weiden,49.68,12.16,14.0,100,90,1.04,DE,1595029159
Pāvilosta,56.89,21.19,12.0,87,0,0.5,LV,1595029160
Sioux Lookout,50.1,-91.92,26.0,47,90,1.5,CA,1595029160
Chui,-33.7,-53.46,14.24,94,99,4.44,UY,1595028918
Pacific Grove,36.62,-121.92,21.67,60,1,6.7,US,1595029161
Gorontalo,0.54,123.06,26.5,83,14,0.52,ID,1595029161
Murray Bridge,-35.12,139.27,13.89,56,100,1.79,AU,1595029161
Saraland,30.82,-88.07,31.11,71,70,4.47,US,1595029162
Visby,57.64,18.3,15.0,87,39,4.1,SE,1595029162
Pokhara,28.23,83.98,22.73,87,100,0.06,NP,1595028970
Elk City,35.41,-99.4,38.0,24,1,7.2,US,1595029162
Tabuk,17.42,121.44,26.88,77,100,1.45,PH,1595029163
Ayan,56.45,138.17,13.01,90,90,1.59,RU,1595029163
Vila Franca do Campo,37.72,-25.43,20.0,82,75,2.6,PT,1595028929
Marrakesh,31.63,-8.01,29.0,20,46,2.1,MA,1595029091
Hofn,64.25,-15.21,11.74,68,97,6.25,IS,1595028906
Chaumont,48.12,5.13,15.0,89,1,1.77,FR,1595029164
Haines Junction,60.75,-137.51,18.1,41,67,4.75,CA,1595028935
Maniitsoq,65.42,-52.9,11.93,66,0,2.6,GL,1595029165
Mahibadhoo,3.78,72.97,29.06,72,99,4.28,MV,1595029165
Sept-Îles,50.2,-66.38,16.11,93,90,1.5,CA,1595029166
Turukhansk,65.82,87.98,11.62,75,41,5.02,RU,1595028947
Aswān,24.09,32.91,27.43,25,3,3.36,EG,1595029166
Kahului,20.89,-156.47,34.0,46,20,7.2,US,1595028921
Newport,51.59,-3.0,17.22,88,70,0.45,GB,1595029167
Dubbo,-32.25,148.62,7.0,93,7,4.1,AU,1595029167
Vostok,46.49,135.88,26.01,59,14,1.07,RU,1595029167
Atar,20.52,-13.05,35.26,25,63,3.3,MR,1595028912
Alūksne,57.42,27.05,12.21,67,28,1.14,LV,1595029168
Yar-Sale,66.83,70.83,10.57,90,100,6.04,RU,1595029168
Mandalgovi,45.76,106.27,14.26,52,14,4.9,MN,1595028904
Ishigaki,24.34,124.16,30.0,89,75,6.7,JP,1595029092
Cuamba,-14.8,36.54,15.03,79,48,3.34,MZ,1595029169
Morros,-9.45,-46.3,23.09,40,3,2.48,BR,1595029169
Yarqā,31.98,35.69,22.0,53,0,3.1,JO,1595029169
West Monroe,32.52,-92.15,33.0,52,20,2.6,US,1595028934
Marsá Maţrūḩ,31.35,27.25,24.0,78,20,2.6,EG,1595029170
Lorengau,-2.02,147.27,29.17,73,87,4.28,PG,1595029170
Sungai Penuh,-2.08,101.38,18.34,91,67,1.14,ID,1595028956
Binghamton,42.1,-75.92,26.11,50,1,3.1,US,1595029171
Mont-Dore,-22.28,166.58,22.78,95,0,2.97,NC,1595029171
Chongoyape,-6.64,-79.39,20.88,64,4,1.32,PE,1595029172
Camabatela,-8.19,15.38,14.62,59,42,1.11,AO,1595029172
Tahe,52.33,124.73,24.11,71,100,1.21,CN,1595029172
Banjarmasin,-3.32,114.59,24.0,100,35,1.0,ID,1595029172
East Wenatchee Bench,47.43,-120.28,29.0,25,1,8.2,US,1595029152
Māngrol,21.12,70.12,28.07,85,17,3.5,IN,1595029173
Minna,9.61,6.56,21.75,96,99,1.86,NG,1595029173
Coyhaique,-45.58,-72.07,0.0,86,90,0.37,CL,1595028951
Narasannapeta,18.42,84.05,27.08,86,99,2.43,IN,1595029173
Bemidji,47.47,-94.88,27.0,54,1,4.1,US,1595029174
Stephenville,32.22,-98.2,35.56,34,1,4.6,US,1595029174
San Vicente,-26.62,-54.13,17.08,97,19,1.48,AR,1595028930
Vao,-22.67,167.48,20.71,71,9,6.28,NC,1595029174
Tombouctou,20.0,-3.0,37.75,20,1,3.54,ML,1595029174
Sal Rei,16.18,-22.92,24.0,73,20,2.6,CV,1595029175
Baracoa,20.35,-74.5,27.01,83,69,3.01,CU,1595029175
Lhokseumawe,5.18,97.15,24.89,80,65,1.85,ID,1595029025
Waingapu,-9.66,120.26,25.66,74,6,4.97,ID,1595028922
Saskylakh,71.92,114.08,10.78,77,99,3.7,RU,1595028927
Hualmay,-11.1,-77.61,15.38,82,7,4.02,PE,1595029176
Mulegé,26.88,-111.98,35.19,32,0,3.42,MX,1595029176
Palu,-0.89,119.87,27.14,71,17,0.77,ID,1595029177
Ciudad Real,39.0,-4.0,28.33,22,16,1.34,ES,1595029177
Zeya,53.75,127.27,21.88,92,100,3.08,RU,1595029177
Slave Lake,55.28,-114.77,19.0,63,75,7.7,CA,1595028904
Krivosheino,57.34,83.93,12.77,82,1,0.99,RU,1595029178
Kismayo,-0.36,42.55,25.01,75,100,10.69,SO,1595028939
Hamilton,39.18,-84.53,31.11,58,1,3.1,US,1595029168
Fortuna,40.6,-124.16,18.33,87,90,6.7,US,1595028727
Piossasco,44.99,7.46,22.22,64,58,4.92,IT,1595029178
Chaman,30.92,66.45,23.46,40,0,2.24,PK,1595029179
Uglekamensk,43.22,133.23,23.38,65,59,0.86,RU,1595029179
Ust-Nera,64.57,143.2,18.44,36,90,2.55,RU,1595029179
Santa Marta,11.24,-74.2,31.11,74,94,5.6,CO,1595029055
Vanimo,-2.67,141.3,28.16,76,60,1.17,PG,1595029180
Geraldton,-28.77,114.6,8.0,87,75,5.1,AU,1595028907
Biltine,14.53,20.92,27.59,61,90,4.94,TD,1595029180
Nicoya,10.15,-85.45,32.0,52,7,5.1,CR,1595028934
Hambantota,6.12,81.12,26.56,81,100,5.49,LK,1595029181
Cabo San Lucas,22.89,-109.91,34.0,61,5,5.1,MX,1595028917
Tamiahua,21.27,-97.45,29.12,74,18,5.3,MX,1595029181
Cidreira,-30.18,-50.21,15.79,88,75,5.78,BR,1595028911
Los Llanos de Aridane,28.66,-17.92,25.0,88,35,5.1,ES,1595028950
Portland,45.52,-122.68,23.89,40,75,2.6,US,1595028729
Nānākuli,21.39,-158.15,31.67,66,1,5.1,US,1595028958
Muros,42.78,-9.06,21.67,57,0,0.45,ES,1595028918
Glenwood Springs,39.55,-107.32,26.0,58,75,5.7,US,1595029184
Caravelas,-17.71,-39.25,21.71,62,47,2.49,BR,1595028924
Isangel,-19.55,169.27,24.0,69,20,3.1,VU,1595028778
Celestún,20.87,-90.4,29.11,73,11,8.1,MX,1595028910
Dunedin,-45.87,170.5,7.78,75,19,11.18,NZ,1595028921
Porto Santo,33.07,-16.34,21.0,83,40,4.1,PT,1595029187
Tairua,-37.02,175.85,14.44,85,98,3.37,NZ,1595029188
Roslavl',53.95,32.86,11.98,92,93,1.86,RU,1595029190
Shingū,33.73,135.98,24.0,100,75,1.5,JP,1595028944
Souillac,-20.52,57.52,21.0,73,75,6.2,MU,1595028925
General Roca,-39.03,-67.58,9.0,81,85,0.5,AR,1595029191
Taoudenni,22.68,-3.98,37.37,19,0,3.66,ML,1595028943
Tual,-5.67,132.75,26.02,84,66,8.95,ID,1595029192
Pran Buri,12.38,99.91,25.0,94,20,1.73,TH,1595029192
Gibara,21.11,-76.13,30.0,66,75,6.7,CU,1595029192
Paamiut,61.99,-49.67,8.31,73,53,1.1,GL,1595028950
Yevlax,40.61,47.15,21.0,64,2,2.6,AZ,1595029192
Cururupu,-1.83,-44.87,23.45,92,6,0.74,BR,1595029193
Xai-Xai,-25.05,33.64,13.36,83,0,0.93,MZ,1595029193
Prince Rupert,54.32,-130.32,14.0,87,90,2.1,CA,1595029025
Urengoy,65.97,78.37,12.0,69,55,1.25,RU,1595029193
Ponta Delgada,37.73,-25.67,20.0,82,75,2.6,PT,1595028919
Sambava,-14.27,50.17,20.14,80,37,8.06,MG,1595028933
Ostrovnoy,68.05,39.51,10.38,65,11,1.08,RU,1595028983
Samarai,-10.62,150.67,24.61,85,100,6.72,PG,1595028771
Te Anau,-45.42,167.72,4.41,69,0,0.26,NZ,1595028915
